rank,full_name,team,injury_status,position,age,points,avg_adp,trend,KeepTradeCut,90D Peak
378,Tommy Tremble,CAR,,TE,24,44.9,53,-8,1079,low
379,Colby Parkinson,LA,,TE,26,50.4,74,-27,1075,low
380,Cam Akers,,,RB,25,86.2,98,-22,1065,low
381,Greg Dulcich,NYG,,TE,25,5.3,0,-5,1060,
382,Elijah Higgins,ARI,,TE,24,39.2,58,5,1054,
383,Grant Calcaterra,PHI,,TE,26,47.8,48,-11,1049,
384,Gardner Minshew,KC,Questionable,QB,29,106.32,62,-12,1041,
385,Kyle McCord,PHI,,QB,22,0,0,16,1039,
386,Chris Rodriguez,WAS,,RB,25,31,117,-14,1035,
387,Sincere McCormick,LV,,RB,24,24.2,114,-23,1035,
388,Rasheen Ali,BAL,,RB,24,3.1,0,-5,1027,
389,Hendon Hooker,DET,,QB,27,2.68,67,-10,1025,
390,Donovan Edwards,NYJ,,RB,22,0,89,21,1025,high
391,Zamir White,LV,,RB,25,26.3,0,-18,1020,low
392,Deuce Vaughn,DAL,,RB,23,10.3,107,-4,1016,
393,LeQuint Allen,JAX,,RB,20,0,85,36,1012,high
394,KaVontae Turpin,DAL,,WR,28,88.7,112,-2,997,
395,Phil Mafah,DAL,,RB,22,0,113,100,987,high
396,Tyler Goodson,IND,,RB,24,38.9,128,-4,986,
397,Xavier Gipson,NYJ,,WR,24,11.4,0,-9,984,
398,Raheim Sanders,LAC,,RB,22,0,83,100,977,
399,JuJu Smith-Schuster,KC,,WR,28,44.1,144,-17,969,
400,Bo Melton,GB,,WR,26,19.5,147,-14,958,
401,Jimmy Horn,CAR,,WR,22,0,98,100,957,low
402,Ty Chandler,MIN,,RB,27,25.4,124,-19,949,
403,Brandin Cooks,NO,,WR,31,56.6,105,-29,945,low
404,Raheem Mostert,LV,,RB,33,61.4,80,-12,943,
405,Mason Tipton,NO,,WR,24,16.9,0,1,941,
406,Jase McClellan,ATL,Questionable,RB,22,3.2,0,-3,936,
407,Isaiah Hodgins,SF,,WR,26,2.2,0,4,935,
408,Isaiah Bond,,,WR,,0,93,-135,934,low
409,K.J. Osborn,WAS,,WR,27,15.2,168,-7,933,
410,Carson Steele,KC,,RB,22,20.4,109,1,933,
411,Frank Gore,BUF,,RB,23,0,0,-14,925,low
412,Demarcus Robinson,SF,,WR,30,108,109,-24,921,
413,Tim Patrick,DET,,WR,31,75.9,117,-4,916,
414,Jamari Thrash,CLE,,WR,24,3.7,0,-1,914,
415,Van Jefferson,TEN,,WR,28,51.6,156,-4,906,
416,Tyquan Thornton,KC,,WR,24,6.7,197,5,905,
417,Johnny Wilson,PHI,,WR,24,12.3,183,-9,904,low
418,KJ Hamler,BUF,,WR,25,0,0,7,897,
419,A.T. Perry,DEN,,WR,25,0,0,-9,892,
420,Davis Allen,LA,,TE,24,6.9,0,-12,889,low
421,Emari Demercado,ARI,Questionable,RB,26,46.7,111,-3,885,
422,Olamide Zaccheaus,CHI,,WR,27,89.9,119,-34,879,
423,Sione Vaki,DET,,RB,23,7.6,0,-10,877,
424,Allen Lazard,NYJ,,WR,29,107.5,115,-6,875,
425,Derius Davis,LAC,,WR,24,33.6,169,8,859,
426,David Bell,CLE,Questionable,WR,24,4.2,179,0,858,
427,Mack Hollins,NE,,WR,31,84.3,124,-19,857,
428,Michael Carter,ARI,,RB,26,30.3,103,-12,856,
429,Kendall Milton,CIN,,RB,23,0,0,8,853,
430,Tyler Johnson,NYJ,,WR,26,48.1,180,-6,852,
431,KeAndre Lambert-Smith,LAC,,WR,23,0,149,100,840,high
432,Terrace Marshall,PHI,,WR,24,5.6,153,-18,832,
433,Jeremy Ruckert,NYJ,,TE,24,19.5,67,-9,832,
434,Ainias Smith,PHI,,WR,23,14.2,185,0,830,
435,Jelani Woods,IND,Questionable,TE,26,0,62,-23,824,
436,Arian Smith,NYJ,,WR,23,0,160,100,821,high
437,Samaje Perine,CIN,,RB,29,68.4,108,-8,816,
438,Jaheim Bell,NE,,TE,23,3,0,-8,815,
439,Clyde Edwards-Helaire,NO,,RB,26,8.5,102,-3,812,
440,Jake Browning,CIN,,QB,29,-0.2,58,-17,806,
441,Marquez Valdes-Scantling,SEA,,WR,30,75,112,-25,805,
442,Trey Sermon,PIT,,RB,26,45.8,88,-11,801,
443,Tyler Badie,DEN,,RB,25,7.9,129,-14,799,low
444,Chris Brooks,GB,,RB,25,36.7,0,8,795,
445,Trey Lance,LAC,,QB,25,13.74,0,-23,794,
446,Mecole Hardman,GB,Questionable,WR,27,27.2,184,-27,785,low
447,Irv Smith,HOU,,TE,26,0,0,-6,775,
448,DJ Chark,,,WR,28,11.1,0,-8,774,
449,Dylan Laube,LV,,RB,25,-2,0,-26,772,low
450,Foster Moreau,NO,Questionable,TE,28,87.3,0,-27,759,low
451,Tyler Scott,CHI,,WR,23,1,152,-9,755,
452,Eric Gray,NYG,,RB,25,12.3,0,-16,745,
453,Tylan Wallace,BAL,,WR,26,30.8,0,-9,744,
454,Trayveon Williams,NE,,RB,27,0,0,20,743,
455,Luke Lachey,HOU,,TE,23,0,0,100,728,high
456,Kenny McIntosh,SEA,,RB,25,20.9,0,-10,720,
457,Zay Jones,ARI,,WR,30,12.4,182,-14,704,low
458,Stone Smartt,NYJ,,TE,26,26.8,66,-48,696,
459,Brock Wright,DET,,TE,26,28.5,50,-13,692,
460,Dorian Thompson-Robinson,PHI,,QB,25,21.8,40,-36,692,low
461,Rakim Jarrett,TB,,WR,24,16.9,0,-15,689,
462,Skyy Moore,KC,Questionable,WR,24,0,0,-13,666,
463,Josh Reynolds,NYJ,,WR,30,31.9,145,-21,657,
464,Pierre Strong,CLE,,RB,26,28.2,0,-44,631,
465,Tyler Huntley,,,QB,27,63.66,0,-40,612,low
466,Hayden Hurst,,,TE,31,11.3,0,-29,588,
467,Jacoby Brissett,ARI,,QB,32,46.24,0,-41,581,low
468,Tyson Bagent,CHI,,QB,24,-0.26,62,-22,581,
469,Josh Whyle,TEN,,TE,25,46.8,54,-25,575,low
470,Desmond Ridder,,,QB,25,23.92,0,-45,572,
471,Donovan Peoples-Jones,NO,,WR,26,0,0,100,551,
472,Ryan Flournoy,DAL,,WR,25,13.2,0,-31,524,low
473,Hassan Haskins,LAC,,RB,25,31.3,0,-60,493,
474,Travis Homer,CHI,,RB,26,4.9,125,-15,485,
475,Josh Oliver,MIN,,TE,28,54.8,0,-34,475,
476,Malik Heath,GB,,WR,25,26.7,0,-57,453,low
477,Joshua Dobbs,NE,,QB,30,32.84,0,-61,453,low
478,Justyn Ross,KC,,WR,25,0,0,-52,444,
479,Cedrick Wilson,NO,,WR,29,39.94,136,-22,439,
480,Craig Reynolds,DET,,RB,28,19.4,0,-36,439,
481,Chris Evans,,,RB,27,0,0,-25,439,
482,Erik Ezukanma,MIA,,WR,25,0,0,100,439,
483,Blake Watson,DEN,,RB,25,2.8,0,100,433,
484,Julius Chestnut,TEN,,RB,24,13.3,0,-40,431,
485,Kalif Raymond,DET,,WR,30,48,161,-53,431,
486,Ronnie Bell,DET,,WR,25,3.2,0,100,430,
487,Deshaun Watson,CLE,IR,QB,29,79.72,46,-114,430,low
488,Anthony Schwartz,,Questionable,WR,24,0,0,-17,428,
489,Lucas Krull,DEN,,TE,26,24.7,73,100,428,
490,Jalen Reagor,LAC,Questionable,WR,26,11.2,0,-33,428,
491,Tyler Boyd,,Questionable,WR,30,58.8,0,-101,421,low
492,Harrison Bryant,PHI,,TE,27,13.1,57,-32,420,
493,Ben Skowronek,PIT,,WR,27,11.4,198,100,417,
494,Kylen Granson,PHI,,TE,27,25.2,71,-45,414,low
495,Tyrod Taylor,NYJ,,QB,35,20.06,0,-72,412,low
496,Kyle Trask,TB,,QB,27,-0.2,0,-31,412,
497,Lil'Jordan Humphrey,NYG,,WR,27,48.8,0,-79,410,low
498,Austin Hooper,NE,,TE,30,86.1,49,-53,408,
499,Ronnie Rivers,LA,,RB,26,15.8,0,-36,408,
500,Justin Watson,HOU,,WR,29,51.9,0,-46,407,
501,DeeJay Dallas,ARI,,RB,26,19.5,0,-28,404,low
502,Marquez Callaway,,,WR,27,0,0,100,402,low
503,Taylor Heinicke,LAC,,QB,32,3.12,0,-26,402,
504,Robert Tonyan,,,TE,30,0,0,0,0,
505,River Cracraft,MIA,,WR,30,10.1,0,0,0,
507,Rashaad Penny,,NA,RB,28,0,0,0,0,
